,Movie_name,Popularity,rating,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19
0,Toy Story (1995),0.773584906,3.878318584,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,GoldenEye (1995),0.222984563,3.20610687,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,Four Rooms (1995),0.152658662,3.033333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,Get Shorty (1995),0.3567753,3.550239234,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
4,Copycat (1995),0.145797599,3.302325581,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
5,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),0.042881647,3.576923077,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,Twelve Monkeys (1995),0.670668954,3.798469388,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
7,Babe (1995),0.373927959,3.99543379,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
8,Dead Man Walking (1995),0.511149228,3.89632107,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,Richard III (1995),0.150943396,3.831460674,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
10,Seven (Se7en) (1995),0.403087479,3.847457627,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11,"Usual Suspects, The (1995)",0.45626072,4.38576779,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
12,Mighty Aphrodite (1995),0.313893654,3.418478261,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"Postino, Il (1994)",0.312178388,3.967213115,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
14,Mr. Holland's Opus (1995),0.500857633,3.778156997,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,French Twist (Gazon maudit) (1995),0.065180103,3.205128205,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
16,From Dusk Till Dawn (1996),0.156089194,3.119565217,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
17,"White Balloon, The (1995)",0.015437393,2.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,Antonia's Line (1995),0.116638079,3.956521739,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,Angels and Insects (1995),0.121783877,3.416666667,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
20,Muppet Treasure Island (1996),0.142367067,2.761904762,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
21,Braveheart (1995),0.507718696,4.151515152,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
22,Taxi Driver (1976),0.310463122,4.120879121,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
23,Rumble in the Bronx (1995),0.296740995,3.448275862,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,"Birdcage, The (1996)",0.500857633,3.443686007,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"Brothers McMullen, The (1995)",0.123499142,3.452054795,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Bad Boys (1995),0.096054889,3.105263158,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Apollo 13 (1995),0.471698113,3.93115942,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
28,Batman Forever (1995),0.193825043,2.666666667,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
